VENDOR NAME,EXPENSE CATEGORY,PAYMENT AMOUNT,PAYMENT DATE
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,443706.85,3/1/22
TAFT STETTINIUS & HOLLISTER LLP,LEGAL COSTS,29331,8/4/22
STAPLES ADVANTAGE,DIRECT PURCHASES,27950.82,6/30/22
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,32062.69,11/3/22
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,81220.67,4/14/22
"*MACK CONSTRUCTION SERVICES, LLC",MAINTENANCE & REPAIRS,126103.8,2/24/22
"THE MCS GROUP, INC.",ADMINISTRATION & HR,3130.75,11/10/22
CITY OF CHICAGO DEPT.OF REVENUE-RED LIGHT,GENERAL EXPENSES,1010,2/10/22
"OCCUPATIONAL HEALTH CENTERS OF THE SOUTHWEST, PA. d/b/a CONCENTRA MEDICAL CENTERS",ADMINISTRATION & HR,39590.5,8/2/22
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,125959.33,3/22/22
SERVICE SANITATION INC,MAINTENANCE & REPAIRS,23729.32,10/20/22
ILLINOIS SECRETARY OF STATE,GENERAL EXPENSES,50,11/23/22
"IMPERIAL CRANE SERVICES, INC.",EQUIPMENT RENTAL,16800,4/21/22
ELLIOT'S PIZZA,GENERAL EXPENSES,97,11/3/22
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,3965.7,5/24/22
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,819.55,5/10/22
"RADICOM, INC.",MAINTENANCE & REPAIRS,22200,9/15/22
CITY OF CHICAGO DEPT.OF REVENUE-RED LIGHT,GENERAL EXPENSES,720,8/25/22
"MONTERREY SECURITY CONSULTANT, INC.",PURCHASE OF SECURITY SERVICES,335066.79,8/30/22
CINTAS CORPORATION,CONTRACTUAL SERVICES,7008.49,4/14/22
JOHNSON CONTROLS FIRE PROTECTION LP,MAINTENANCE & REPAIRS,17293.73,5/19/22
"PROMPT ELECTRIC, INC.",MAINTENANCE & REPAIRS,1953.04,7/19/22
AN EXECUTIVE DECISION,GENERAL EXPENSES,2725.7,3/24/22
"STEVE'S EQUIPMENT SERVICE, INC.",MAINTENANCE & REPAIRS,3323.2,7/20/22
"*ATLAS & ASSOCIATES, INC.",MAINTENANCE & REPAIRS,17036.47,2/3/22
CLAREMONT LLC,CONTRACTUAL SERVICES,555,8/11/22
Carahsoft Technology Corporation,ADVERTISING & PROMOTION,14533.79,3/24/22
MURRAY & TRETTEL INC,GENERAL EXPENSES,457.5,12/29/22
"OCCUPATIONAL HEALTH CENTERS OF THE SOUTHWEST, PA. d/b/a CONCENTRA MEDICAL CENTERS",ADMINISTRATION & HR,17707.5,6/9/22
LATHROP GAGE LLP,LEGAL COSTS,671,11/23/22
ADVOCATE HEALTH & HOSPITAL,ADMINISTRATION & HR,750,1/13/22
