VENDOR NAME,EXPENSE CATEGORY,PAYMENT AMOUNT,PAYMENT DATE
"WISCO, INC.",MAINTENANCE & REPAIRS,706.84,1/12/2023
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,4256.05,2/9/2023
MICHAEL BEST & FRIEDRICH-CHGO,LEGAL COSTS,9582.50,2/2/2023
BROOKE CUI M.D,ADMINISTRATION & HR,500.00,3/2/2023
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,3484.40,3/23/2023
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,9531.26,4/18/2023
JOHNSON CONTROLS FIRE PROTECTION LP,MAINTENANCE & REPAIRS,6107.00,3/9/2023
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,31814.00,3/9/2023
"WISCO, INC.",MAINTENANCE & REPAIRS,562.40,5/4/2023
Wensco,ADVERTISING & PROMOTION,14820.68,4/13/2023
"LUMINATOR TECHNOLOGY GROUP GLOBAL, LLC dba LUMINATOR TECHNOLOGY GROUP",MAINTENANCE & REPAIRS,14875.00,4/4/2023
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,584328.49,5/2/2023
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,4458.60,6/15/2023
"SAFETY KLEEN SYSTEMS, INC.",MAINTENANCE & REPAIRS,523.71,6/27/2023
"WISCO, INC.",MAINTENANCE & REPAIRS,1230.14,7/13/2023
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,CONTRACTUAL SERVICES,39101.91,7/20/2023
SERVICE SANITATION INC,MAINTENANCE & REPAIRS,23262.00,7/27/2023
"COMET MESSENGER SERVICE, INC.",CONTRACTUAL SERVICES,15.44,8/24/2023
"WISCO, INC.",MAINTENANCE & REPAIRS,1108.79,9/21/2023
SERVICE SANITATION INC,MAINTENANCE & REPAIRS,19512.64,9/21/2023
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,166498.37,10/12/2023
STAPLES ADVANTAGE,DIRECT PURCHASES,194.56,10/19/2023
"COMET MESSENGER SERVICE, INC.",CONTRACTUAL SERVICES,991.81,11/9/2023
"Christopher Glass Services, Inc",MAINTENANCE & REPAIRS,6057.00,11/30/2023
"MARCO SUPPLY CO., INC.",DIRECT PURCHASES,4942.89,2/16/2023
AURIGA CORPORATION,GENERAL EXPENSES,57612.63,2/9/2023
"ACTION K-9 SECURITY, INC.",PURCHASE OF SECURITY SERVICES,16495.46,5/9/2023
VILLAGE OF FOREST PARK (WATER ACCOUNT),UTILITIES EXPENSE,4772.28,6/8/2023
LEONARD TRIAL LAWYERS LLC,GENERAL EXPENSES,217994.00,6/15/2023
*MOBILE HEALTH & TESTING SERVICES,ADMINISTRATION & HR,62720.00,7/6/2023
PLANET DEPOS LLC,LEGAL COSTS,784.34,7/13/2023
FEDEX,GENERAL EXPENSES,19.02,7/20/2023
ESQUIRE DEPOSITION SERVICES,LEGAL COSTS,461.85,8/10/2023
CITY OF CHICAGO-DEPT OF WATER,UTILITIES EXPENSE,31728.36,8/1/2023
"AMERESCO, INC.",CONSULTING,17166.00,8/1/2023
HAPPY HANDS CLEANING SERVICE LLC,MAINTENANCE & REPAIRS,1666.67,9/5/2023
"MARCO SUPPLY CO., INC.",DIRECT PURCHASES,3578.11,10/17/2023
"JONES LANG LaSALLE, INCORPORATED",CONSULTING,2176.83,9/26/2023
Carahsoft Technology Corporation,ADVERTISING & PROMOTION,15551.15,2/16/2023
HI-TEK ENVIRONMENTAL- d/b/a STAT,CONTRACTUAL SERVICES,45.00,4/27/2023
TOOMEY REPORTING,LEGAL COSTS,1021.25,4/20/2023
"COLONIAL OIL INDUSTRIES, INC.",DIRECT PURCHASES,100158.79,5/25/2023
"TEXTMARKS, INC.",CONTRACTUAL SERVICES,16468.46,6/6/2023
BETH DONAHUE GIS SERVICES LLC,CONSULTING,5610.00,5/30/2023
"JULIAN, BETLEY & ASSOCIATES",LEGAL COSTS,762.25,6/22/2023
*Freddies Inc,GENERAL EXPENSES,172.00,7/20/2023
GENUINE PARTS COMPANY (NAPA),GENERAL EXPENSES,662.22,9/5/2023
"HERITAGE-CRYSTAL CLEAN, LLC",DIRECT PURCHASES,7817.60,8/25/2023
"OER SERVICES, LLC",DIRECT PURCHASES,760.00,11/16/2023
SDI PRESENCE LLC,TECHNOLOGY SERVICES,486977.64,5/30/2023
*SOUTH SUBURBAN PEST CONTROL,MAINTENANCE & REPAIRS,8262.00,7/18/2023
